Year,Round,Pick,Player,College,Games,Minutes Played,PTS,TRB,AST,FG%,3P%,FT%,Minutes Played per game,PTS per game,TBR per game,AST per game,WS,Team
1981,1,18,Ray Tolbert,Indiana,261,2789,928,609,135,0.495,0.0,0.544,10.7,3.6,2.3,0.5,2.9,BRK
1981,3,49,David Burns,Saint Louis,9,87,23,5,15,0.438,0.0,0.6,9.7,2.6,0.6,1.7,-0.1,BRK
1981,4,72,Edmund Sherod,VCU,64,1624,395,149,311,0.406,0.077,0.65,25.4,6.2,2.3,4.9,2.5,BRK
1981,5,95,Joe Cooper,Colorado,24,389,109,97,19,0.506,0.0,0.543,16.2,4.5,4.0,0.8,0.3,BRK
1980,1,6,Mike O'Koren,UNC,407,8810,3355,1391,856,0.49,0.271,0.651,21.6,8.2,3.4,2.1,14.6,BRK
1980,1,7,Mike Gminski,Duke,938,24058,10953,6480,1203,0.465,0.122,0.843,25.6,11.7,6.9,1.3,55.9,BRK
1980,3,52,Lowes Moore,West Virginia,112,2118,752,227,316,0.442,0.2,0.75,18.9,6.7,2.0,2.8,1.5,BRK
1980,4,75,Rory Sparrow,Villanova,836,22550,7557,1755,4192,0.466,0.26,0.797,27.0,9.0,2.1,5.0,28.3,BRK
1979,1,8,Calvin Natt,Louisiana-Monroe,599,18818,10291,4070,1306,0.528,0.219,0.768,31.4,17.2,6.8,2.2,57.2,BRK
1979,1,11,Cliff Robinson,USC,629,19284,10823,5237,1249,0.468,0.184,0.722,30.7,17.2,8.3,2.0,30.5,BRK
1978,1,13,Winford Boynes,San Francisco,177,3035,1478,363,207,0.435,0.0,0.783,17.1,8.4,2.1,1.2,0.9,BRK
1978,3,62,Dave Batton,Notre Dame,58,589,188,123,32,0.448,0.0,0.471,10.2,3.2,2.1,0.6,0.7,BRK
1978,4,84,Walter Jordan,Purdue,30,207,68,42,11,0.387,0.0,0.588,6.9,2.3,1.4,0.4,-0.1,BRK
1977,1,7,Bernard King,Tennessee,874,29417,19655,5060,2863,0.518,0.0,0.73,33.7,22.5,5.8,3.3,75.4,BRK
1977,6,111,Mark Crow,Duke,15,154,84,27,8,0.438,0.0,0.7,10.3,5.6,1.8,0.5,0.2,BRK
1977,8,152,Ralph Drollinger,UCLA,6,67,15,19,14,0.5,0.0,0.25,11.2,2.5,3.2,2.3,-0.2,BRK
2023,1,2,Brandon Miller,Alabama,74,2383,1279,315,175,0.44,0.373,0.827,32.2,17.3,4.3,2.4,0.8,CHA
2023,1,27,Nick Smith,Arkansas,51,729,302,72,59,0.391,0.432,0.867,14.3,5.9,1.4,1.2,-0.5,CHA
2023,2,34,Colby Jones,Xavier,30,192,64,40,20,0.394,0.091,0.545,6.4,2.1,1.3,0.7,0.0,CHA
2023,2,39,Mouhamed Gueye,Washington State,6,73,24,22,4,0.348,0.333,0.833,12.2,4.0,3.7,0.7,0.2,CHA
2023,2,41,Amari Bailey,UCLA,10,65,23,9,7,0.333,0.125,0.857,6.5,2.3,0.9,0.7,-0.1,CHA
2022,1,13,Jalen Duren,Memphis,128,3447,1453,1304,222,0.631,0.0,0.707,26.9,11.4,10.2,1.7,9.3,CHA
