PTS per game,TBR per game,AST per game,WS,Pick,College
11.3,4.1,1.3,19.8,7,US
8.0,1.5,2.6,7.3,13,US
2.4,0.6,1.7,0.6,16,US
5.5,1.5,0.9,0.1,8,US
10.1,7.1,0.9,35.8,13,US
7.0,2.8,1.3,34.8,2,US
14.0,5.2,2.3,55.1,1,US
14.7,3.6,2.9,90.6,6,US
12.5,4.0,2.5,26.0,4,US
4.2,3.3,1.0,3.5,13,US
13.5,6.1,2.1,27.1,19,US
11.4,7.5,1.3,32.7,3,US
5.6,1.3,1.5,-2.7,8,US
7.3,7.6,0.9,74.4,14,US
14.1,2.8,2.5,75.2,4,US
16.4,7.3,1.9,91.1,2,US
18.1,6.1,2.1,79.0,8,US
12.8,6.3,2.6,16.5,9,US
24.3,5.7,3.0,134.2,6,US
8.1,4.0,1.1,27.2,9,US
9.6,2.0,5.1,2.5,3,US
22.1,9.4,2.3,89.1,2,US
3.1,0.8,1.0,0.0,15,US
13.4,10.6,1.4,34.7,3,US
9.4,2.1,1.6,-3.5,19,US
6.9,5.3,1.7,4.8,15,US
1.6,0.6,0.4,-0.5,17,US
14.3,4.1,1.5,7.6,4,US
11.9,5.7,6.2,11.4,2,US
19.4,5.2,4.3,27.2,2,US
17.8,3.4,5.8,24.6,2,US
19.1,9.4,3.7,43.3,7,US
5.3,2.4,1.8,0.1,19,US
11.5,7.7,1.2,37.4,10,Out US
14.8,4.0,2.9,100.6,10,US
6.6,5.0,1.4,32.3,12,US
9.7,2.6,2.4,30.7,15,US
17.6,5.1,3.0,81.2,1,US
9.6,2.1,1.2,15.1,19,US
19.5,7.2,11.2,155.8,1,US
3.2,0.6,0.7,0.4,14,US
11.6,7.4,1.4,33.6,6,US
8.2,1.8,4.9,53.6,15,US
11.2,6.3,2.3,13.4,2,US
13.6,3.5,2.4,45.0,8,US
16.2,2.6,4.1,38.6,12,US
9.2,8.3,1.4,36.0,5,US
3.6,1.5,0.2,0.4,13,US
10.0,3.1,3.7,19.7,16,US
8.3,3.0,3.9,29.1,13,US
13.8,5.3,2.5,46.0,13,US
7.0,1.6,2.0,-1.0,12,US
9.0,8.3,1.4,14.6,15,US
5.7,5.5,1.3,5.2,11,US
8.1,3.1,0.8,2.8,7,US
5.1,3.9,0.8,13.5,17,US
18.6,3.2,4.7,76.3,10,US
2.0,1.5,0.4,-0.6,19,US
12.6,3.0,4.9,30.3,5,US
3.0,1.8,0.4,0.0,14,US
2.0,0.0,0.0,0.0,8,US
7.2,2.5,2.3,17.7,14,US
1.4,0.4,0.7,-0.1,17,US
9.7,8.3,1.3,46.3,8,US
